image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.925006,bus,van,False
drive_022,2,5,0.908496,truck,bus,False
drive_022,3,4,0.886495,car,car,True
drive_022,4,1,0.876192,car,car,True
drive_022,5,3,0.832178,car,car,True
drive_033,1,1,0.973705,bus,van,False
drive_033,2,11,0.882262,car,car,True
drive_033,3,2,0.845844,truck,bus,False
drive_033,4,12,0.956491,bus,van,False
drive_033,5,8,0.820173,car,car,True
drive_033,6,10,0.816254,car,car,True
drive_033,7,6,0.835743,car,car,True
drive_033,10,7,0.882795,car,car,True
drive_033,11,3,0.866283,car,car,True
drive_033,12,4,0.792387,car,car,True
drive_033,13,5,0.870295,car,car,True
drive_033,14,9,0.852147,car,car,True
drive_038,1,1,0.974493,car,car,True
drive_038,2,2,0.928653,car,car,True
drive_038,3,3,0.948025,car,car,True
drive_038,4,4,0.94298,car,car,True
drive_038,5,5,0.873149,truck,bus,False
drive_038,16,17,0.938265,car,car,True
drive_038,17,16,0.83789,car,car,True
drive_038,18,15,0.899808,van,truck,False
drive_038,19,9,0.916168,truck,bus,False
drive_038,20,14,0.808372,car,car,True
drive_038,21,13,0.887281,car,car,True
drive_038,22,10,0.88837,car,car,True
drive_038,23,8,0.873549,car,car,True
drive_038,24,11,0.899774,car,car,True
drive_038,25,7,0.910561,car,car,True
drive_038,26,6,0.849739,car,car,True
drive_038,27,12,0.738467,car,car,True
drive_008,1,11,0.935189,car,car,True
drive_008,2,16,0.940606,car,car,True
drive_008,3,4,0.927915,car,car,True
drive_008,4,6,0.884411,car,car,True
drive_008,8,7,0.789744,car,car,True
drive_008,9,13,0.588475,car,car,True
drive_008,10,14,0.89763,car,car,True
drive_008,11,15,0.322733,car,car,True
drive_008,12,9,0.010449,car,van,False
drive_008,27,12,0.898669,van,truck,False
drive_008,28,1,0.896197,truck,bus,False
drive_008,29,3,0.895382,van,truck,False
drive_008,30,5,0.79897,van,truck,False
drive_008,31,2,0.90545,car,car,True
